# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403638132.74510 -0.347570 0.048365 0.988733 0.584265 -0.511985 0.558682 0.290483 0.0007820384 0.0000005931 0.0000007514 0.0007823626 0.0000010361 0.0007828724 0.0170178099 0.0000073765 0.0008880070 0.0170709874 -0.0001234826 0.0027459565
1403638132.79510 -0.388222 0.055073 1.060855 0.583580 -0.514662 0.558629 0.287213 0.0008217747 0.0000007131 0.0000009523 0.0008220964 0.0000012368 0.0008228344 0.0201723625 0.0000094941 0.0011011714 0.0202392769 -0.0001566871 0.0027913743
1403638132.84510 -0.432987 0.062986 1.131082 0.578380 -0.515529 0.563634 0.286396 0.0008634375 0.0000008222 0.0000011557 0.0008637811 0.0000014630 0.0008648102 0.0238114184 0.0000123414 0.0013583127 0.0238956090 -0.0001991399 0.0028443630
1403638132.89510 -0.482427 0.070995 1.198600 0.569690 -0.517360 0.570999 0.285922 0.0009069783 0.0000009395 0.0000013759 0.0009073795 0.0000017449 0.0009087639 0.0279790348 0.0000157564 0.0016681786 0.0280852696 -0.0002479691 0.0029062469
1403638132.94510 -0.536673 0.078863 1.263586 0.563167 -0.516979 0.578329 0.284800 0.0009523604 0.0000010881 0.0000016150 0.0009528976 0.0000021134 0.0009546354 0.0327294245 0.0000197204 0.0020393556 0.0328636307 -0.0003026130 0.0029784063
1403638132.99510 -0.596062 0.085987 1.326105 0.561386 -0.514441 0.582951 0.283488 0.0009996490 0.0000012810 0.0000018758 0.0010003870 0.0000025479 0.0010024027 0.0381199460 0.0000239962 0.0024823988 0.0382896544 -0.0003602567 0.0030625241
1403638133.04510 -0.661444 0.092535 1.386817 0.566255 -0.510566 0.581342 0.284111 0.0010489568 0.0000015085 0.0000021534 0.0010499012 0.0000029887 0.0010521040 0.0442190882 0.0000286627 0.0030125698 0.0444342549 -0.0004212799 0.0031611285
1403638133.09510 -0.733279 0.098409 1.446448 0.572948 -0.507601 0.576369 0.286131 0.0011003982 0.0000017279 0.0000024147 0.0011014977 0.0000033659 0.0011038353 0.0511031157 0.0000336043 0.0036455117 0.0513762857 -0.0004846666 0.0032769441
1403638133.14510 -0.811491 0.103720 1.505880 0.576427 -0.507855 0.572460 0.286538 0.0011539603 0.0000019304 0.0000026855 0.0011551093 0.0000036711 0.0011576272 0.0588585574 0.0000387476 0.0043958187 0.0592046291 -0.0005505433 0.0034126858
1403638133.19510 -0.897280 0.108716 1.566314 0.576245 -0.510467 0.568604 0.289923 0.0012095462 0.0000020715 0.0000029392 0.0012106897 0.0000039347 0.0012135535 0.0675863253 0.0000442945 0.0052891947 0.0680249076 -0.0006202789 0.0035730668
1403638133.24510 -0.989840 0.113898 1.627761 0.572906 -0.515419 0.565951 0.292953 0.0012671410 0.0000021723 0.0000031854 0.0012682394 0.0000041696 0.0012715660 0.0773802129 0.0000505348 0.0063390649 0.0779329727 -0.0006976910 0.0037610548
1403638133.29510 -1.089951 0.119540 1.689936 0.570078 -0.521178 0.560576 0.298560 0.0013267098 0.0000022216 0.0000033989 0.0013277556 0.0000043894 0.0013316605 0.0883355831 0.0000579744 0.0075724468 0.0890296903 -0.0007859589 0.0039822205
1403638133.34510 -1.196530 0.125902 1.752568 0.569847 -0.526811 0.553736 0.301863 0.0013883408 0.0000022722 0.0000035889 0.0013893076 0.0000045834 0.0013937229 0.1005535428 0.0000669332 0.0090021198 0.1014179783 -0.0008888672 0.0042396190
