# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403638132.945096969604492,0.00377,0.00014,0.00018,0.00000,0.00000,0.00223,0.00632
1403638132.995096921920776,0.00459,0.00014,0.00085,0.00000,0.00058,0.00200,0.00817
1403638133.045097112655640,0.00336,0.00014,0.00047,0.00000,0.00000,0.00208,0.00605
1403638133.095097064971924,0.00503,0.00027,0.00001,0.00000,0.00000,0.00302,0.00833
1403638133.145097017288208,0.00337,0.00019,0.00001,0.00000,0.00000,0.00214,0.00572
1403638133.195096969604492,0.00406,0.00015,0.00005,0.00000,0.00000,0.00217,0.00642
1403638133.245096921920776,0.00370,0.00013,0.00003,0.00000,0.00000,0.00227,0.00614
1403638133.295097112655640,0.00342,0.00015,0.00001,0.00000,0.00000,0.00271,0.00629
1403638133.345097064971924,0.00408,0.00014,0.00005,0.00000,0.00000,0.00225,0.00653
1403638133.395097017288208,0.00367,0.00013,0.00006,0.00000,0.00000,0.00225,0.00611
1403638133.445096969604492,0.00457,0.00023,0.00016,0.00000,0.00000,0.00224,0.00719
1403638133.495096921920776,0.00318,0.00013,0.00005,0.00000,0.00000,0.00225,0.00561
1403638133.545097112655640,0.00401,0.00024,0.00008,0.00000,0.00000,0.00319,0.00752
1403638133.593131065368652,0.00350,0.00015,0.00335,0.00000,0.00705,0.00193,0.01597
1403638133.645986080169678,0.00362,0.00015,0.00014,0.00038,0.00984,0.00191,0.01604
1403638133.696018695831299,0.00418,0.00027,0.00015,0.00169,0.00000,0.00302,0.00931
1403638133.745947837829590,0.00444,0.00025,0.00009,0.00116,0.00000,0.00295,0.00889
1403638133.795825242996216,0.00479,0.00015,0.00012,0.00053,0.00002,0.00199,0.00759
1403638133.846035242080688,0.00308,0.00015,0.00026,0.00047,0.00003,0.00220,0.00620
1403638133.896279096603394,0.00321,0.00017,0.00007,0.00049,0.00000,0.00236,0.00630
1403638133.946623802185059,0.00393,0.00017,0.00043,0.00047,0.00002,0.00311,0.00813
1403638133.996136426925659,0.00401,0.00019,0.00009,0.00042,0.00385,0.00238,0.01095
1403638134.046172618865967,0.00408,0.00015,0.00003,0.00082,0.00000,0.00229,0.00737
1403638134.096318721771240,0.00432,0.00016,0.00006,0.00053,0.00003,0.00229,0.00739
1403638134.146176815032959,0.00931,0.00016,0.00004,0.00050,0.00000,0.00230,0.01230
1403638134.195762157440186,0.00998,0.00014,0.00368,0.00040,0.02570,0.00943,0.04934
1403638134.245227575302124,0.00471,0.00022,0.00011,0.00226,0.00183,0.01037,0.01950
1403638134.295099735260010,0.00414,0.00021,0.00013,0.00283,0.00003,0.00204,0.00939
1403638134.345029830932617,0.00392,0.00023,0.00024,0.00253,0.00621,0.00278,0.01591
1403638134.395056009292603,0.00850,0.00019,0.00023,0.00219,0.00122,0.00230,0.01463
1403638134.445065975189209,0.00379,0.00030,0.00019,0.00349,0.00104,0.00228,0.01109
1403638134.495081901550293,0.00462,0.00019,0.00015,0.00314,0.00003,0.00210,0.01023
1403638134.545058727264404,0.00842,0.00018,0.00011,0.00262,0.00141,0.00199,0.01473
1403638134.595046520233154,0.00623,0.00017,0.00014,0.00221,0.00024,0.00190,0.01089
1403638134.645172357559204,0.01868,0.00016,0.00004,0.00174,0.00000,0.00199,0.02261
1403638134.695280075073242,0.00693,0.00019,0.00007,0.00213,0.00041,0.00207,0.01179
1403638134.745433330535889,0.02188,0.00015,0.00014,0.00129,0.00000,0.00200,0.02547
1403638134.795535564422607,0.00430,0.00024,0.00008,0.00175,0.00803,0.00234,0.01674
1403638134.845440387725830,0.00354,0.00019,0.00007,0.00176,0.00446,0.00189,0.01192
1403638134.895150184631348,0.00517,0.00042,0.00012,0.00505,0.00357,0.00279,0.01713
1403638134.944920778274536,0.00419,0.00022,0.00009,0.00245,0.00927,0.00185,0.01807
1403638134.994945287704468,0.01099,0.00014,0.00008,0.00161,0.00290,0.00178,0.01750
1403638135.045082092285156,0.00470,0.00023,0.00014,0.00191,0.00671,0.00192,0.01560
1403638135.095228672027588,0.00343,0.00018,0.00016,0.00204,0.00358,0.00207,0.01145
1403638135.145280599594116,0.00398,0.00017,0.00014,0.00131,0.00145,0.00212,0.00918
1403638135.195266962051392,0.00528,0.00023,0.00022,0.00167,0.00181,0.00738,0.01658
1403638135.245253086090088,0.00523,0.00025,0.00032,0.00105,0.00006,0.00259,0.00951
1403638135.295136213302612,0.00468,0.00020,0.00020,0.00052,0.00133,0.00275,0.00967
1403638135.345001459121704,0.00435,0.00027,0.00005,0.00078,0.00004,0.00292,0.00842
1403638135.394915103912354,0.01002,0.00023,0.00008,0.00047,0.00263,0.00231,0.01575
1403638135.444902181625366,0.00479,0.00020,0.00005,0.00031,0.00084,0.00233,0.00853
1403638135.494894027709961,0.00934,0.00015,0.00006,0.00015,0.00004,0.00195,0.01169
1403638135.544889211654663,0.00505,0.00026,0.00016,0.00018,0.00148,0.00339,0.01052
1403638135.594889163970947,0.00457,0.00024,0.00006,0.00007,0.00017,0.00370,0.00882
1403638135.644889116287231,0.01091,0.00014,0.00003,0.00004,0.00009,0.00195,0.01317
1403638135.694889068603516,0.00539,0.00017,0.00007,0.00000,0.00010,0.00231,0.00804
1403638135.744889020919800,0.00420,0.00023,0.00002,0.00000,0.00060,0.00279,0.00783
1403638135.794889211654663,0.01110,0.00021,0.00006,0.00000,0.00171,0.00188,0.01496
1403638135.844889163970947,0.00465,0.00016,0.00005,0.00000,0.00148,0.00236,0.00870
1403638135.894889116287231,0.00358,0.00016,0.00001,0.00000,0.00088,0.00224,0.00688
1403638135.944889068603516,0.00489,0.00024,0.00008,0.00000,0.00045,0.00293,0.00860
1403638135.994889020919800,0.00552,0.00021,0.00010,0.00000,0.00432,0.00345,0.01361
1403638136.044893264770508,0.00348,0.00014,0.00013,0.00000,0.00158,0.00228,0.00761
1403638136.094874382019043,0.00736,0.00022,0.00015,0.00012,0.00155,0.00272,0.01211
1403638136.144841670989990,0.00360,0.00015,0.00008,0.00012,0.00356,0.00323,0.01074
1403638136.194828271865845,0.00417,0.00016,0.00006,0.00020,0.00098,0.00286,0.00844
1403638136.244838953018188,0.00450,0.00026,0.00008,0.00032,0.00058,0.00633,0.01208
1403638136.294896841049194,0.00347,0.00017,0.00001,0.00019,0.00256,0.00266,0.00907
1403638136.344952583312988,0.00326,0.00016,0.00003,0.00026,0.00116,0.00290,0.00778
1403638136.395004987716675,0.00470,0.00024,0.00002,0.00059,0.00432,0.00357,0.01344
1403638136.445042610168457,0.00545,0.00022,0.00013,0.00040,0.00170,0.00199,0.00989
1403638136.495052576065063,0.00366,0.00017,0.00003,0.00021,0.00102,0.00331,0.00840
1403638136.545067548751831,0.00899,0.00025,0.00005,0.00035,0.00187,0.00235,0.01386
1403638136.595046758651733,0.00352,0.00014,0.00003,0.00024,0.00252,0.00293,0.00937
1403638136.645037651062012,0.00437,0.00022,0.00001,0.00039,0.00090,0.00329,0.00918
1403638136.695059537887573,0.01098,0.00017,0.00001,0.00022,0.00003,0.00221,0.01362
1403638136.745093584060669,0.00333,0.00015,0.00001,0.00027,0.00095,0.00226,0.00697
1403638136.795108556747437,0.00482,0.00016,0.00001,0.00027,0.00059,0.00225,0.00810
1403638136.845097303390503,0.00343,0.00016,0.00007,0.00025,0.00006,0.00226,0.00623
1403638136.895046949386597,0.00993,0.00015,0.00005,0.00025,0.00007,0.00279,0.01324
1403638136.945016622543335,0.00475,0.00025,0.00005,0.00033,0.00052,0.00308,0.00898
1403638136.994942665100098,0.00592,0.00015,0.00001,0.00018,0.00412,0.00182,0.01220
1403638137.044965982437134,0.00409,0.00022,0.00008,0.00033,0.00400,0.00270,0.01142
1403638137.095032453536987,0.01157,0.00013,0.00005,0.00015,0.00166,0.00191,0.01546
1403638137.145032405853271,0.00512,0.00017,0.00052,0.00007,0.00077,0.00207,0.00873
1403638137.195032358169556,0.00948,0.00012,0.00014,0.00004,0.00126,0.00187,0.01291
1403638137.245032310485840,0.00371,0.00016,0.00020,0.00000,0.00017,0.00303,0.00727
1403638137.295032501220703,0.01213,0.00013,0.00008,0.00000,0.00000,0.00180,0.01414
1403638137.345032453536987,0.00529,0.00025,0.00021,0.00000,0.00046,0.00282,0.00903
1403638137.395032405853271,0.00476,0.00022,0.00011,0.00000,0.00012,0.00271,0.00793
1403638137.445032358169556,0.00469,0.00017,0.00014,0.00000,0.00006,0.00218,0.00723
1403638137.495032310485840,0.00460,0.00016,0.00017,0.00000,0.00006,0.00220,0.00720
1403638137.545032501220703,0.00449,0.00015,0.00017,0.00000,0.00006,0.00255,0.00742
1403638137.595032453536987,0.00443,0.00015,0.00026,0.00000,0.00004,0.00215,0.00703
1403638137.645032405853271,0.00721,0.00028,0.00027,0.00000,0.00005,0.00184,0.00966
1403638137.695032358169556,0.00753,0.00014,0.00011,0.00000,0.00012,0.00192,0.00982
1403638137.745032310485840,0.00692,0.00020,0.00025,0.00000,0.00014,0.00262,0.01013
1403638137.795032501220703,0.01167,0.00013,0.00007,0.00000,0.00011,0.00180,0.01379
1403638137.845032453536987,0.00704,0.00021,0.00019,0.00000,0.00032,0.00292,0.01069
